"method","fit_type","seed","survey_degf","refit_residual_df","refit_coef_rows","retained_effect_rows","nonzero_positive_coef","nonzero_negative_coef","nonzero_positive_weights","nonzero_negative_weights","positive_weight_sum","negative_weight_sum","lambda_path_source","lambda_path_length","lambda_path_min","lambda_path_max","selected_lambda","selected_lambda_at_path_boundary","backend_jerr","backend_warnings","retained_terms","note"
"SGL-WQS (survey, lambda.min path)","survey",1729,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1847,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1847,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.14504756993828e-07,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1847,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1847,25,7,19,7,9,6,9,6,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.95520923520289e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1963,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1963,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1963,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1963,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",2048,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",2048,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1e-05,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",2048,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",2048,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",2222,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",2222,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,7.62698585902345e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",2222,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",2222,25,7,19,7,9,6,9,6,4,4,"user_explicit",120,9.99999999999998e-09,0.1,5.08021804691301e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",2345,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",2345,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.58086154041808e-05,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",2345,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",2345,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",2500,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",2500,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.14504756993828e-05,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",2500,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",2500,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",2718,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",2718,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,5.08021804691303e-07,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",2718,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",2718,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",2801,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",2801,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",2801,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",2801,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",3001,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",3001,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-05,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",3001,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",3001,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",3141,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",3141,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.95520923520289e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",3141,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",3141,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",3333,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",3333,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342824e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",3333,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",3333,25,7,19,7,9,6,9,6,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.95520923520289e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",3500,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",3500,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.95520923520289e-05,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",3500,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",3500,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",3777,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",3777,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.31113393742156e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",3777,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",3777,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
